Date,S&P,AAPL,CSCO,AMZN,MSFT,IBM
2000-01-03,1455.219971,3.997768,54.03125,89.375,58.28125,116.0
2000-01-04,1399.420044,3.660714,51.0,81.9375,56.3125,112.0625
2000-01-05,1402.109985,3.714286,50.84375,69.75,56.90625,116.0
2000-01-06,1403.449951,3.392857,50.0,65.5625,55.0,114.0
2000-01-07,1441.469971,3.553571,52.9375,69.5625,55.71875,113.5
2000-01-10,1457.599976,3.491071,54.90625,69.1875,56.125,118.0
2000-01-11,1438.560059,3.3125,53.25,66.75,54.6875,119.0
2000-01-12,1432.25,3.113839,51.90625,63.5625,52.90625,119.5
2000-01-13,1449.680054,3.455357,53.09375,65.9375,53.90625,118.25
2000-01-14,1465.150024,3.587054,53.78125,64.25,56.125,119.625
2000-01-18,1455.140015,3.712054,56.0,64.125,57.65625,115.75
2000-01-19,1455.900024,3.805804,56.15625,66.8125,53.5,119.5
2000-01-20,1445.569946,4.053571,56.1875,64.75,53.0,119.0
2000-01-21,1441.359985,3.975446,57.625,62.0625,51.875,121.5
2000-01-24,1401.530029,3.794643,54.53125,70.125,50.625,121.5
2000-01-25,1410.030029,4.008929,56.0625,69.25,51.40625,119.125
2000-01-26,1404.089966,3.935268,53.59375,64.8125,49.6875,116.75
2000-01-27,1398.560059,3.928571,53.3125,66.9375,49.375,113.5
2000-01-28,1360.160034,3.629464,51.9375,61.6875,49.125,111.5625
2000-01-31,1394.459961,3.705357,54.75,64.5625,48.9375,112.25
2000-02-01,1409.280029,3.580357,58.90625,67.4375,51.46875,110.0
2000-02-02,1409.119995,3.529018,56.9375,69.4375,50.40625,113.5
2000-02-03,1424.969971,3.689732,58.90625,84.1875,51.8125,117.125
2000-02-04,1424.369995,3.857143,60.5625,78.5625,53.28125,115.625
2000-02-07,1424.23999,4.073661,62.59375,75.0,53.3125,114.125
2000-02-08,1441.719971,4.102679,62.90625,83.125,54.96875,118.8125
2000-02-09,1411.709961,4.022321,64.40625,80.25,52.0,117.375
2000-02-10,1416.829956,4.053571,67.96875,76.1875,53.0,119.125
2000-02-11,1387.119995,3.883929,65.46875,76.1875,49.96875,115.375
2000-02-14,1389.939941,4.136161,65.25,74.4375,49.8125,116.0625
2000-02-15,1402.050049,4.25,64.0,73.8125,49.28125,117.125
2000-02-16,1387.670044,4.075893,63.585899,70.6875,48.8125,115.75
2000-02-17,1388.26001,4.102679,65.25,69.0,49.8125,116.75
2000-02-18,1346.089966,3.973214,62.90625,64.75,47.53125,112.5
2000-02-22,1352.170044,4.064732,61.96875,63.5625,46.90625,111.0
2000-02-23,1360.689941,4.151786,69.3125,70.4375,47.125,108.75
2000-02-24,1353.430054,4.114397,68.625,68.4375,47.375,110.5
2000-02-25,1333.359985,3.941964,66.375,69.125,45.65625,108.0
2000-02-28,1348.050049,4.044643,65.28125,65.75,45.78125,104.5
2000-02-29,1366.420044,4.09375,66.09375,68.875,44.6875,102.75
2000-03-01,1379.189941,4.654018,65.84375,65.875,45.40625,100.25
2000-03-02,1381.76001,4.357143,66.375,62.5625,46.6875,103.125
2000-03-03,1409.170044,4.571429,68.71875,62.5,48.0625,108.0
2000-03-06,1391.280029,4.488839,68.0625,63.9375,45.3125,103.0625
2000-03-07,1355.619995,4.388393,66.03125,63.5,46.4375,103.0
2000-03-08,1366.699951,4.357143,66.1875,63.625,47.78125,106.25
2000-03-09,1401.689941,4.366071,69.65625,68.8125,50.0,108.0
2000-03-10,1395.069946,4.491071,68.1875,66.875,50.5,105.25
2000-03-13,1383.619995,4.332589,68.09375,65.3125,49.0,107.6875
2000-03-14,1359.150024,4.080357,65.875,65.625,47.5625,108.625
2000-03-15,1392.140015,4.151786,64.3125,63.75,47.6875,107.0
2000-03-16,1458.469971,4.341518,65.835899,66.25,47.6875,109.0
2000-03-17,1464.469971,4.464286,67.5,64.8125,49.6875,110.0
2000-03-20,1456.630005,4.392857,67.0625,64.1875,48.6875,112.75
2000-03-21,1493.869995,4.819196,70.429649,72.375,51.375,113.5
2000-03-22,1500.640015,5.149554,72.1875,70.6875,51.625,114.25
2000-03-23,1527.349976,5.046875,77.8125,67.6875,55.9375,115.25
2000-03-24,1527.459961,4.953125,79.375,72.6875,55.84375,120.625
2000-03-27,1523.859985,4.984375,80.0625,73.125,52.03125,126.875
2000-03-28,1507.72998,4.96875,77.875,70.125,52.15625,122.5
2000-03-29,1508.52002,4.854911,76.0625,66.25,53.59375,119.0
2000-03-30,1487.920044,4.491071,73.625,66.5,51.6875,122.75
2000-03-31,1498.579956,4.850446,77.3125,67.0,53.125,118.375
2000-04-03,1505.969971,4.761161,72.9375,63.5625,45.4375,122.0
2000-04-04,1494.72998,4.546875,73.125,63.9375,44.28125,121.1875
2000-04-05,1487.369995,4.65625,72.125,62.1875,43.1875,125.0
2000-04-06,1501.339966,4.470982,71.8125,64.25,43.0,122.75
2000-04-07,1516.349976,4.705357,74.9375,67.5625,44.53125,123.125
2000-04-10,1504.459961,4.464286,72.5625,63.375,43.03125,122.125
2000-04-11,1500.589966,4.265625,70.0,63.375,41.9375,119.375
2000-04-12,1467.170044,3.901786,65.0,56.375,39.6875,113.75
2000-04-13,1440.51001,4.064732,61.125,48.0,39.625,110.625
2000-04-14,1356.560059,3.995536,57.0,46.875,37.0625,105.0
2000-04-17,1401.439941,4.424107,66.5,47.0625,37.9375,111.875
2000-04-18,1441.609985,4.53125,69.25,54.9375,40.28125,111.5
2000-04-19,1427.469971,4.325893,66.125,53.4375,39.34375,105.0
2000-04-20,1434.540039,4.245536,65.125,52.375,39.46875,104.0
2000-04-24,1429.859985,4.303571,63.4375,49.8125,33.3125,106.5
2000-04-25,1477.439941,4.582589,66.0,52.4375,34.6875,112.5
2000-04-26,1460.98999,4.332589,66.75,53.5,34.0,110.5
2000-04-27,1464.920044,4.526786,69.0,52.875,34.90625,110.625
2000-04-28,1452.430054,4.430804,69.328102,55.1875,34.875,111.5
2000-05-01,1468.25,4.439732,71.4375,59.9375,36.71875,112.0
2000-05-02,1446.290039,4.209821,68.0,56.125,34.9375,111.375
2000-05-03,1415.099976,4.109375,66.0625,54.125,35.28125,108.125
2000-05-04,1409.569946,3.953125,63.625,55.0625,35.21875,107.625
2000-05-05,1432.630005,4.040179,67.75,58.5,35.5625,107.875
2000-05-08,1424.170044,3.933036,62.75,56.015598,34.90625,109.75
2000-05-09,1412.140015,3.765625,62.75,56.25,33.90625,109.0
2000-05-10,1383.050049,3.546875,58.5,53.3125,33.09375,103.0
2000-05-11,1407.810059,3.671875,60.25,54.875,33.9375,104.4375
2000-05-12,1420.959961,3.84375,59.9375,53.75,34.40625,104.4375
2000-05-15,1452.359985,3.607143,60.0,56.0625,34.6875,104.1875
2000-05-16,1466.040039,3.774554,60.5625,59.0625,34.75,109.0
2000-05-17,1447.800049,3.620536,58.0,61.0,33.84375,107.875
2000-05-18,1437.209961,3.598214,55.375,55.375,33.09375,106.0625
2000-05-19,1406.949951,3.357143,53.4375,52.625,32.53125,106.4375
2000-05-22,1400.719971,3.212054,55.25,51.875,32.09375,109.25
2000-05-23,1373.859985,3.064732,50.546799,46.6875,31.59375,107.375
2000-05-24,1399.050049,3.131696,55.125,48.5625,32.78125,109.625
2000-05-25,1381.52002,3.116629,54.5,45.5,30.75,106.5
2000-05-26,1378.02002,3.084821,54.9375,46.5,30.71875,106.9375
2000-05-30,1422.449951,3.127232,59.875,51.75,31.6875,110.9375
2000-05-31,1420.599976,3.0,56.9375,48.3125,31.28125,107.3125
2000-06-01,1448.810059,3.183036,60.9375,50.1875,32.28125,106.0
2000-06-02,1477.26001,3.305804,64.375,57.875,33.15625,108.8125
2000-06-05,1467.630005,3.261161,63.25,54.5,33.4375,112.8125
2000-06-06,1457.839966,3.316964,61.3125,50.5625,34.8125,112.375
2000-06-07,1471.359985,3.448661,62.875,51.8125,35.25,121.0
2000-06-08,1461.670044,3.386161,63.6875,51.875,34.40625,119.75
2000-06-09,1456.949951,3.419643,64.375,52.1875,34.40625,119.6875
2000-06-12,1446.0,3.256696,62.125,48.4375,33.4375,118.84369699999999
2000-06-13,1469.439941,3.375,65.0,49.0,33.9375,119.3125
2000-06-14,1470.540039,3.229911,65.1875,46.4375,35.25,116.0
2000-06-15,1478.72998,3.299107,66.5,46.3125,36.1875,116.8125
2000-06-16,1464.459961,3.256696,67.8125,46.0,36.28125,113.25
2000-06-19,1486.0,3.450893,68.9375,45.3125,36.84375,120.375
2000-06-20,1475.949951,3.616071,67.125,46.125,37.46875,116.375
2000-06-21,1479.130005,3.973214,67.4375,46.0625,40.34375,114.5
2000-06-22,1452.180054,3.839286,64.5625,42.0,39.9375,111.8125
2000-06-23,1441.47998,3.691964,62.625,33.875,38.84375,111.875
2000-06-26,1455.310059,3.866071,62.8125,33.9375,39.75,114.40619699999999
2000-06-27,1450.550049,3.696429,62.25,36.5,39.40625,109.75
2000-06-28,1454.819946,3.888393,63.5625,37.875,39.46875,113.78119699999999
2000-06-29,1442.390015,3.660714,61.1875,37.125,38.59375,114.0
2000-06-30,1454.599976,3.741071,63.5625,36.3125,40.0,109.5625
2000-07-03,1469.540039,3.808036,64.625,37.0,40.0,109.5
2000-07-05,1446.22998,3.6875,61.875,36.5,39.25,105.0
2000-07-06,1456.670044,3.700893,64.75,36.0625,40.46875,101.25
2000-07-07,1478.900024,3.888393,65.375,36.125,41.0,105.0625
2000-07-10,1475.619995,4.080357,63.125,35.0625,39.71875,103.3125
2000-07-11,1480.880005,4.066964,62.125,33.125,39.5625,102.0
2000-07-12,1492.920044,4.205357,63.875,35.0625,40.15625,104.625
2000-07-13,1495.839966,4.035714,65.25,35.0,39.96875,104.0
2000-07-14,1509.97998,4.120536,68.25,42.625,39.46875,103.9375
2000-07-17,1510.48999,4.165179,69.625,41.125,39.09375,105.5
2000-07-18,1493.73999,4.089286,67.25,41.75,39.25,103.3125
2000-07-19,1481.959961,3.763393,66.8125,40.875,36.5625,108.75
2000-07-20,1495.569946,3.9375,69.5,40.3125,37.40625,117.25
2000-07-21,1480.189941,3.825893,68.125,41.125,36.15625,114.75
2000-07-24,1464.290039,3.477679,66.0625,38.75,35.28125,112.5
2000-07-25,1474.469971,3.575893,68.125,37.625,34.5,112.0
2000-07-26,1452.420044,3.575893,68.5625,36.0625,33.90625,109.875
2000-07-27,1449.619995,3.714286,68.0,31.375,34.6875,110.3125
2000-07-28,1419.890015,3.450893,62.8125,30.0,34.84375,111.8125
2000-07-31,1430.829956,3.629464,65.4375,30.125,34.90625,112.25
2000-08-01,1438.099976,3.522321,63.1875,30.25,34.34375,110.5
2000-08-02,1438.699951,3.375,60.9375,30.8125,34.6875,114.25
2000-08-03,1452.560059,3.428571,64.375,31.5,35.125,116.0
2000-08-04,1462.930054,3.383929,65.5625,32.5,34.5625,115.875
2000-08-07,1479.319946,3.424107,66.25,33.8125,35.0,116.3125
2000-08-08,1482.800049,3.339286,65.5,32.9375,37.0625,118.875
2000-08-09,1472.869995,3.392857,67.8125,30.875,37.125,118.75
2000-08-10,1460.25,3.397321,63.375,30.4375,36.3125,119.75
2000-08-11,1471.839966,3.40625,64.3125,33.6875,36.21875,120.625
2000-08-14,1491.560059,3.361607,64.5,34.875,36.09375,123.25
2000-08-15,1484.430054,3.334821,63.1875,37.5625,35.8125,122.0
2000-08-16,1479.849976,3.464286,63.0625,38.625,35.5,122.375
2000-08-17,1496.069946,3.674107,63.4375,38.25,35.78125,122.5
2000-08-18,1491.719971,3.571429,63.5,39.0,35.5,120.4375
2000-08-21,1499.47998,3.607143,65.5,37.5,35.3125,121.4375
2000-08-22,1498.130005,3.691964,64.8125,36.5,35.625,121.375
2000-08-23,1505.969971,3.879464,67.1875,38.8125,35.375,123.25
2000-08-24,1508.310059,4.007807,66.5,39.375,35.5625,124.8125
2000-08-25,1506.449951,4.058036,65.5,39.9375,35.3125,129.0
2000-08-28,1514.089966,4.147321,66.0625,39.125,35.65625,131.5
2000-08-29,1509.839966,4.227679,66.5625,39.625,35.46875,132.875
2000-08-30,1502.589966,4.25,66.5625,42.9375,35.0,130.3125
2000-08-31,1517.680054,4.352679,68.625,41.5,34.90625,132.015594
2000-09-01,1520.77002,4.53125,68.5625,41.5,35.09375,133.625
2000-09-05,1507.079956,4.459821,66.0,45.6875,35.0625,131.1875
2000-09-06,1492.25,4.174107,64.25,45.875,34.71875,131.4375
2000-09-07,1502.51001,4.428571,66.25,43.5,35.03125,133.375
2000-09-08,1494.5,4.205357,63.875,42.9375,34.65625,129.5
2000-09-11,1489.26001,4.174107,61.1875,42.375,34.40625,124.5
2000-09-12,1481.98999,4.125,58.875,42.6875,34.0625,125.0
2000-09-13,1484.910034,4.142857,61.3125,42.4375,34.125,127.6875
2000-09-14,1480.869995,4.0613779999999995,61.25,44.875,32.90625,126.875
2000-09-15,1465.810059,3.945307,62.75,43.625,32.09375,125.0
2000-09-18,1444.51001,4.332586,60.0625,42.8125,31.5,123.25
2000-09-19,1459.900024,4.28125,62.0,40.75,32.5,124.9375
2000-09-20,1451.339966,4.360486,63.125,37.5,32.125,124.75
2000-09-21,1449.050049,4.049107,61.125,40.0625,32.09375,121.5
